% 1. Title: Consent information from Experiment 1
%
% 2. Sources:
%      (a) Creator: Christian Medeiros Adriano
%      (b) Date of Experiment: October 20, 2014
%      (c) Paper draft = https://arxiv.org/abs/1612.03015
%
@RELATION Task

@ATTRIBUTE time_stamp  STRING
@ATTRIBUTE event  {CONSENT,SKILLTEST,SURVEY}
@ATTRIBUTE worker_id  STRING
@ATTRIBUTE consent_date STRING
@ATTRIBUTE test1 {false, true}
@ATTRIBUTE test2 {false, true}
@ATTRIBUTE test3 {false, true}
@ATTRIBUTE test4 {false, true}
@ATTRIBUTE qualification_score NUMERIC
@ATTRIBUTE test_duration NUMERIC
@ATTRIBUTE feedback STRING
@ATTRIBUTE gender {Female,Male,Prefer_not_to_tell}
@ATTRIBUTE years_programming NUMERIC
@ATTRIBUTE difficulty NUMERIC
@ATTRIBUTE country STRING
@ATTRIBUTE age NUMERIC

@DATA
"2014 10 24 09:05:44.340000",CONSENT,49_1,1.41415594434E12,false,true,false,true,2,217683.0,"-",Male,2,6,"United States",28
"2014 10 24 09:05:45.788000",CONSENT,50_1,1.414155945788E12,false,true,false,true,2,12105.0,,,,,,
"2014 10 24 09:05:48.828000",CONSENT,51_1,1.414155948828E12,false,false,false,false,0,182585.0,,,,,,
"2014 10 24 09:06:00.267000",CONSENT,52_1,1.414155960267E12,,,,,,,,,,,,
"2014 10 24 09:06:08.638000",CONSENT,53_1,1.414155968638E12,true,false,false,false,1,30034.0,,,,,,
"2014 10 24 09:06:08.669000",CONSENT,54_1,1.414155968669E12,,,,,,,,,,,,
"2014 10 24 09:06:11.344000",CONSENT,55_1,1.414155971344E12,false,false,false,true,1,118376.0,,,,,,
"2014 10 24 09:06:12.962000",CONSENT,56_1,1.414155972962E12,false,false,false,true,1,243360.0,,,,,,
"2014 10 24 09:06:21.765000",CONSENT,57_1,1.414155981765E12,,,,,,,,,,,,
"2014 10 24 09:06:22.703000",CONSENT,58_1,1.414155982703E12,false,false,false,false,0,57089.0,,,,,,
"2014 10 24 09:06:23.149000",CONSENT,59_1,1.414155983149E12,false,false,false,true,1,96950.0,,,,,,
"2014 10 24 09:06:27.198000",CONSENT,60_1,1.414155987198E12,false,true,false,false,1,204931.0,,,,,,
"2014 10 24 09:06:27.556000",CONSENT,61_1,1.414155987556E12,false,false,false,false,0,88246.0,,,,,,
"2014 10 24 09:06:32.691000",CONSENT,62_1,1.414155992691E12,,,,,,,,,,,,
