"","worker_id","years_programming","age","is_student"
"3711","1332_2",NA,NA,NA
"3712","1333_2",NA,NA,NA
"3713","1334_2",NA,NA,NA
"3714","1335_2",NA,NA,NA
"3715","1337_2",NA,NA,NA
"3716","1338_2",NA,NA,NA
"3717","1339_2",NA,NA,NA
"3718","1340_2",NA,NA,NA
"3719","1343_2",NA,NA,NA
"3720","1345_2",NA,NA,NA
"3721","1346_2",NA,NA,NA
"3722","1347_2",NA,NA,NA
"3723","1348_2",NA,NA,NA
"3724","1349_2",NA,NA,NA
"3725","1351_2",NA,NA,NA
"3726","1352_2",NA,NA,NA
"3727","1355_2",NA,NA,NA
"3728","1356_2",NA,NA,NA
"3729","1358_2",NA,NA,NA
"3730","1359_2",NA,NA,NA
"3731","1360_2",NA,NA,NA
"3732","1361_2",NA,NA,NA
"3733","1362_2",NA,NA,NA
"3734","1364_2",NA,NA,NA
"3735","1366_2",3,18,"1"
"3736","1366_2",3,18,"1"
"3737","1366_2",3,18,"1"
"3738","1367_2",NA,NA,NA
"3739","1368_2",NA,NA,NA
