"","worker_id","years_programming","age","is_student"
"3089","707_2",NA,NA,NA
"3090","708_2",1,28,"0"
"3091","708_2",1,28,"0"
"3092","708_2",1,28,"0"
"3093","708_2",1,28,"0"
"3094","708_2",1,28,"0"
"3095","708_2",1,28,"0"
"3096","708_2",1,28,"0"
"3097","708_2",1,28,"0"
"3098","708_2",1,28,"0"
"3099","708_2",1,28,"0"
"3100","710_2",NA,NA,NA
"3101","711_2",NA,NA,NA
"3102","712_2",NA,NA,NA
"3103","714_2",NA,NA,NA
"3104","716_2",4,22,"1"
"3105","716_2",4,22,"1"
"3106","717_2",NA,NA,NA
"3107","718_2",NA,NA,NA
"3108","720_2",NA,NA,NA
"3109","721_2",NA,NA,NA
"3110","722_2",NA,NA,NA
"3111","723_2",NA,NA,NA
"3112","724_2",NA,NA,NA
"3113","725_2",NA,NA,NA
"3114","726_2",NA,NA,NA
"3115","727_2",NA,NA,NA
"3116","729_2",NA,NA,NA
"3117","731_2",NA,NA,NA
"3118","733_2",0,20,"1"
"3119","734_2",NA,NA,NA
"3120","735_2",7,28,"0"
"3121","735_2",7,28,"0"
"3122","735_2",7,28,"0"
"3123","736_2",NA,NA,NA
"3124","737_2",NA,NA,NA
"3125","739_2",NA,NA,NA
"3126","740_2",NA,NA,NA
"3127","741_2",NA,NA,NA
"3128","743_2",NA,NA,NA
"3129","744_2",NA,NA,NA
"3130","745_2",NA,NA,NA
"3131","748_2",NA,NA,NA
"3132","749_2",NA,NA,NA
"3133","750_2",NA,NA,NA
"3134","751_2",NA,NA,NA
"3135","753_2",15,32,"0"
"3136","754_2",1,26,"0"
"3137","754_2",1,26,"0"
"3138","754_2",1,26,"0"
"3139","754_2",1,26,"0"
"3140","754_2",1,26,"0"
"3141","754_2",1,26,"0"
"3142","755_2",NA,NA,NA
"3143","756_2",NA,NA,NA
"3144","757_2",NA,NA,NA
"3145","758_2",NA,NA,NA
"3146","760_2",NA,NA,NA
"3147","761_2",NA,NA,NA
"3148","762_2",NA,NA,NA
"3149","763_2",NA,NA,NA
"3150","764_2",NA,NA,NA
"3151","765_2",NA,NA,NA
"3152","766_2",1,24,"0"
"3153","766_2",1,24,"0"
"3154","766_2",1,24,"0"
"3155","766_2",1,24,"0"
"3156","766_2",1,24,"0"
"3157","766_2",1,24,"0"
"3158","766_2",1,24,"0"
"3159","766_2",1,24,"0"
"3160","766_2",1,24,"0"
"3161","767_2",NA,NA,NA
"3162","768_2",NA,NA,NA
"3163","770_2",1,21,"1"
"3164","770_2",1,21,"1"
"3165","770_2",1,21,"1"
"3166","770_2",1,21,"1"
"3167","770_2",1,21,"1"
"3168","771_2",NA,NA,NA
"3169","772_2",NA,NA,NA
"3170","773_2",NA,NA,NA
"3171","774_2",NA,NA,NA
"3172","775_2",NA,NA,NA
"3173","776_2",NA,NA,NA
"3174","777_2",NA,NA,NA
"3175","778_2",NA,NA,NA
"3176","780_2",NA,NA,NA
"3177","784_2",NA,NA,NA
"3178","785_2",NA,NA,NA
"3179","786_2",NA,NA,NA
"3180","787_2",NA,NA,NA
"3181","788_2",NA,NA,NA
"3182","789_2",NA,NA,NA
"3183","793_2",NA,NA,NA
"3184","794_2",NA,NA,NA
"3185","795_2",NA,NA,NA
"3186","799_2",NA,NA,NA
"3187","800_2",NA,NA,NA
"3188","801_2",NA,NA,NA
"3189","802_2",NA,NA,NA
"3190","803_2",NA,NA,NA
"3191","805_2",NA,NA,NA
"3192","807_2",NA,NA,NA
"3193","809_2",NA,NA,NA
"3194","810_2",NA,NA,NA
"3195","812_2",NA,NA,NA
"3196","813_2",NA,NA,NA
"3197","814_2",NA,NA,NA
"3198","815_2",NA,NA,NA
"3199","816_2",NA,NA,NA
"3200","817_2",NA,NA,NA
"3201","819_2",NA,NA,NA
"3202","820_2",NA,NA,NA
"3203","822_2",NA,NA,NA
"3204","823_2",NA,NA,NA
"3205","824_2",1,30,"0"
"3206","824_2",1,30,"0"
"3207","824_2",1,30,"0"
"3208","824_2",1,30,"0"
"3209","824_2",1,30,"0"
"3210","824_2",1,30,"0"
"3211","824_2",1,30,"0"
"3212","824_2",1,30,"0"
"3213","824_2",1,30,"0"
"3214","824_2",1,30,"0"
"3215","825_2",NA,NA,NA
"3216","826_2",NA,NA,NA
"3217","827_2",NA,NA,NA
"3218","828_2",NA,NA,NA
"3219","829_2",NA,NA,NA
"3220","830_2",NA,NA,NA
"3221","832_2",NA,NA,NA
"3222","833_2",1,43,"0"
"3223","834_2",NA,NA,NA
"3224","836_2",NA,NA,NA
"3225","838_2",NA,NA,NA
"3226","839_2",NA,NA,NA
"3227","840_2",NA,NA,NA
"3228","841_2",NA,NA,NA
"3229","842_2",NA,NA,NA
"3230","843_2",NA,NA,NA
"3231","844_2",NA,NA,NA
"3232","845_2",NA,NA,NA
"3233","848_2",NA,NA,NA
"3234","852_2",NA,NA,NA
"3235","853_2",NA,NA,NA
"3236","854_2",NA,NA,NA
"3237","855_2",NA,NA,NA
"3238","856_2",NA,NA,NA
"3239","857_2",NA,NA,NA
"3240","858_2",NA,NA,NA
"3241","859_2",NA,NA,NA
"3242","860_2",NA,NA,NA
"3243","861_2",NA,NA,NA
"3244","863_2",NA,NA,NA
"3245","865_2",10,28,"0"
"3246","866_2",NA,NA,NA
"3247","867_2",NA,NA,NA
"3248","868_2",NA,NA,NA
