"","test1","test2","test3","test4","test5"
"2117",1,1,1,1,1
"2118",2,2,2,1,2
"2122",2,2,2,2,1
"2123",1,1,2,1,1
"2124",1,2,1,2,1
"2125",2,2,2,2,2
"2126",2,2,2,1,1
"2129",1,1,1,1,1
"2130",1,2,1,1,1
"2132",2,2,2,1,1
"2135",2,2,2,2,2
"2136",2,2,2,1,1
"2139",2,2,2,1,2
"2143",2,1,2,1,1
"2144",1,1,1,2,2
"2146",1,2,1,1,2
"2148",1,1,1,1,1
"2150",2,2,2,2,2
"2152",2,2,2,2,2
"2153",1,1,1,2,1
"2154",1,2,1,2,2
"2155",1,1,1,1,1
"2156",1,2,1,2,2
"2158",1,1,1,2,1
"2160",1,1,1,1,2
"2165",1,1,1,2,1
"2166",1,1,2,2,1
"2168",1,2,1,2,2
"2169",2,2,2,2,2
"2170",1,1,2,1,1
"2177",1,2,1,2,1
"2180",1,2,1,2,1
"2181",1,1,1,2,1
"2182",1,1,2,1,2
"2183",1,2,2,1,1
"2186",2,1,2,1,1
"2188",1,1,1,1,1
"2190",1,1,1,1,1
"2191",1,2,1,1,1
"2192",1,1,1,1,1
"2194",1,2,1,2,1
"2196",2,1,1,1,1
"2197",1,1,2,1,1
"2199",2,2,2,1,1
"2203",1,2,1,1,1
"2205",2,2,2,1,2
"2207",1,1,1,1,1
"2208",1,1,1,1,2
"2214",1,1,2,1,1
"2216",2,2,2,2,2
"2218",1,2,2,2,2
"2221",2,2,2,2,2
"2223",2,2,2,2,2
"2227",2,1,2,2,1
"2229",2,2,1,2,2
"2230",2,2,2,2,1
"2233",1,1,1,1,1
"2235",1,1,1,2,1
"2236",1,2,1,1,1
"2241",2,2,2,2,2
"2243",2,2,2,2,2
"2249",1,1,1,2,2
"2250",2,1,2,1,1
"2256",1,2,1,2,2
"2258",1,1,1,2,1
"2259",1,1,1,1,1
"2260",1,2,1,2,1
"2261",1,1,1,2,1
"2264",1,1,1,1,1
"2267",2,2,2,2,2
"2268",2,2,1,2,1
"2269",2,1,1,2,1
"2270",1,2,2,2,2
"2271",1,1,1,2,1
"2272",1,2,1,2,2
"2275",2,2,1,1,1
"2277",1,1,2,1,1
"2280",1,1,1,1,1
"2281",2,1,1,2,2
"2283",1,1,1,2,1
"2285",1,1,1,2,1
"2287",1,1,1,2,2
"2288",2,2,2,2,2
"2291",1,1,1,2,1
"2293",2,1,2,2,2
"2294",2,2,1,1,2
"2295",1,2,1,2,2
"2300",2,2,2,2,1
"2306",2,1,1,1,1
"2308",1,1,1,1,1
"2310",2,1,2,2,2
"2312",2,2,2,2,2
"2313",2,2,2,1,1
"2314",2,2,2,2,2
"2317",2,2,2,1,2
"2319",1,1,1,2,1
"2320",2,2,2,2,2
"2321",2,2,2,2,2
"2323",2,2,2,2,2
"2324",1,1,1,2,1
"2328",1,1,2,1,1
"2330",2,2,2,2,1
"2333",2,2,2,2,2
"2334",1,1,1,1,1
"2335",1,1,1,1,1
"2336",2,2,2,1,1
"2337",1,1,1,1,1
"2339",2,2,2,2,1
"2343",2,1,1,2,1
"2345",2,2,2,1,1
"2346",2,2,2,2,2
"2347",2,2,2,2,2
"2348",1,1,2,1,1
"2356",2,2,2,2,2
"2357",2,1,2,2,2
"2358",2,1,2,2,2
"2359",2,2,2,2,2
"2361",1,2,1,1,2
"2362",2,2,2,1,2
"2367",1,1,1,2,1
"2368",2,2,2,2,2
"2369",1,1,1,1,1
"2370",1,2,2,2,1
"2372",2,2,2,1,1
"2374",1,1,1,1,1
"2375",2,2,2,2,2
"2379",2,2,2,1,1
"2382",2,2,2,2,2
"2383",1,1,1,1,1
"2384",2,2,2,1,1
"2388",1,1,2,2,1
"2390",2,2,2,2,1
"2392",2,2,2,2,1
"2393",1,1,1,1,1
"2394",1,1,2,1,1
"2396",2,2,2,1,2
"2398",2,2,1,1,1
"2401",1,1,2,1,1
"2403",2,2,2,2,1
"2405",1,1,1,1,1
"2406",2,2,2,2,2
"2409",2,2,2,2,1
"2410",2,2,2,2,1
"2413",1,2,1,2,1
"2414",2,1,1,2,1
"2416",1,1,1,1,1
"2417",2,1,1,2,1
"2420",1,1,1,1,1
"2421",2,2,2,2,2
"2422",1,1,1,1,1
"2423",1,2,1,2,1
"2424",1,2,1,2,1
"2425",1,1,1,1,1
"2427",2,2,2,1,2
"2428",2,2,2,2,2
"2430",1,2,2,1,1
"2431",1,1,1,1,1
"2432",2,1,2,1,1
"2435",2,2,1,1,1
"2436",2,2,2,2,1
"2438",1,2,1,2,1
"2441",2,2,2,2,1
"2442",2,2,2,2,2
"2443",1,1,1,1,1
"2445",1,1,1,1,1
"2446",2,2,2,1,2
"2449",1,2,1,1,1
"2450",1,2,1,1,1
"2452",1,1,1,2,1
"2454",1,1,1,2,1
"2456",2,1,1,1,1
"2457",2,2,1,1,1
"2460",1,1,1,1,1
"2462",2,1,1,1,1
"2463",1,2,1,1,1
"2466",2,2,2,2,2
"2471",1,1,1,1,2
"2474",2,2,2,2,2
"2475",2,2,2,2,2
"2476",1,1,2,1,1
"2477",2,1,1,2,1
"2481",1,1,2,1,1
"2485",1,2,1,1,2
"2489",1,2,1,2,1
"2490",1,2,1,1,2
"2493",2,2,2,1,2
"2494",1,1,1,1,1
"2500",1,2,1,1,1
"2502",1,1,1,2,1
"2504",2,1,1,2,1
"2510",1,1,2,2,2
"2511",1,1,2,1,1
"2516",2,2,2,2,1
"2517",2,2,1,2,1
"2518",1,1,1,1,1
"2519",2,2,2,2,2
"2524",2,2,2,2,2
"2525",1,1,2,1,1
"2527",1,1,1,2,1
"2530",2,2,2,2,2
"2534",2,1,1,1,1
"2540",1,1,2,2,1
"2541",2,2,2,2,2
"2543",2,2,1,1,1
"2544",2,1,1,2,1
"2545",2,1,1,2,2
"2548",1,1,1,1,1
"2549",2,1,1,2,1
"2550",1,1,1,2,2
"2551",2,2,2,1,1
"2553",1,2,1,1,1
"2554",2,1,1,2,2
"2555",2,1,1,1,1
"2556",1,1,1,1,1
"2558",1,1,1,2,1
"2561",1,1,2,1,1
"2562",2,1,1,1,2
"2563",1,1,1,1,2
"2565",1,1,1,1,1
"2566",2,2,2,1,2
"2568",1,1,1,1,1
"2569",2,2,2,2,2
"2570",2,2,2,1,2
"2571",2,2,2,1,2
"2573",1,1,1,2,2
"2574",1,1,1,2,1
"2577",2,2,1,1,2
"2580",1,1,1,2,1
"2582",1,1,1,1,1
"2583",1,1,1,1,1
"2584",2,2,2,2,2
"2585",2,1,1,2,2
"2588",1,1,1,1,1
"2591",2,1,1,2,2
"2593",1,1,2,1,1
"2597",1,2,1,2,1
"2599",1,1,1,1,1
"2600",2,2,2,1,2
"2601",1,2,1,1,1
"2603",2,1,1,2,1
"2605",1,1,1,2,1
"2607",2,1,2,1,1
"2613",2,2,2,2,2
"2616",2,2,1,2,2
"2617",2,1,1,2,2
"2618",2,1,2,2,1
"2622",1,1,1,2,2
"2623",1,1,1,1,1
"2624",2,1,1,1,1
"2625",2,2,2,2,2
"2628",2,2,2,1,1
"2629",2,2,1,2,2
"2632",2,2,2,2,1
"2633",2,2,2,2,2
"2635",1,1,1,1,1
"2638",2,1,1,1,1
"2639",2,2,2,2,1
"2642",2,2,2,2,2
"2643",2,2,1,2,2
"2648",1,2,1,1,2
"2651",1,2,1,1,1
"2652",2,2,2,1,2
"2655",2,2,2,2,2
"2656",1,1,1,2,1
"2658",1,1,1,2,1
"2660",1,2,1,1,1
"2661",1,1,1,2,1
"2662",1,1,1,2,1
"2664",1,2,1,2,1
"2668",2,2,1,2,2
"2669",2,2,2,2,2
"2670",2,2,2,2,2
"2673",2,2,1,2,2
"2674",1,1,2,1,1
"2676",2,1,1,2,1
"2678",2,2,2,2,2
"2679",1,2,1,1,1
"2680",2,2,1,1,2
"2681",1,1,2,1,2
"2683",1,1,1,1,1
"2684",1,1,1,1,2
"2688",1,1,1,1,1
"2692",2,2,1,2,1
"2694",1,1,2,1,1
"2695",2,1,1,2,2
"2696",2,2,2,2,2
"2697",1,1,1,1,1
"2699",1,1,1,2,1
"2700",2,2,2,2,2
"2701",1,1,1,1,1
"2702",2,2,1,2,2
"2707",2,1,1,1,1
"2718",2,2,2,2,2
"2719",2,2,2,2,2
"2720",1,1,2,1,1
"2722",1,1,1,1,1
"2723",1,2,1,2,1
"2724",2,2,2,2,2
"2727",2,1,1,2,1
"2732",2,2,2,1,1
"2734",1,1,2,1,1
"2735",2,2,2,2,2
"2741",1,1,1,1,1
"2742",1,1,2,1,2
"2744",1,1,2,1,2
"2746",1,2,1,1,1
"2749",1,1,1,1,1
"2751",1,1,2,1,1
"2752",2,2,2,2,2
"2754",2,2,2,1,1
"2755",1,2,1,1,1
"2756",1,1,1,1,1
"2758",1,1,1,2,1
"2759",2,2,2,1,1
"2760",1,1,1,1,1
"2761",2,2,2,2,2
"2765",2,2,2,1,1
"2767",2,2,2,1,1
"2768",1,2,1,2,1
"2769",2,2,2,2,2
"2770",2,2,2,2,2
"2771",1,1,1,1,1
"2772",2,1,1,2,2
"2773",2,2,1,1,1
"2775",1,2,1,1,1
"2777",1,2,1,1,1
"2778",1,1,2,1,1
"2781",2,2,2,1,1
"2783",2,1,1,1,1
"2784",1,1,2,2,1
"2785",1,1,1,2,1
"2787",1,1,2,1,1
"2788",2,2,2,1,1
"2789",1,2,1,1,1
"2790",1,1,1,1,1
"2791",1,1,1,2,1
"2796",2,2,2,2,1
"2797",1,1,1,1,1
"2799",2,2,2,2,2
"2800",2,2,2,1,2
"2802",1,1,1,1,1
"2804",1,1,1,1,2
"2805",1,1,1,1,1
"2806",1,1,1,1,1
"2808",2,2,2,2,2
"2809",1,1,2,1,1
"2810",2,2,2,2,2
"2811",1,1,1,1,1
"2814",1,2,1,1,1
"2817",2,2,2,1,2
"2818",2,1,2,1,1
"2823",2,1,2,2,2
"2836",1,2,1,1,1
"2837",1,1,2,2,1
"2842",1,1,1,1,1
"2843",1,1,1,1,1
"2844",1,1,1,2,1
"2845",1,1,1,1,1
"2846",2,2,2,2,1
"2849",1,1,2,1,1
"2850",2,2,2,2,2
"2853",1,1,1,1,1
"2854",1,1,1,1,1
"2855",2,2,2,2,2
"2856",1,2,2,1,2
"2858",1,1,2,2,1
"2859",1,1,2,1,1
"2860",2,2,2,2,1
"2865",2,1,2,1,1
"2866",2,2,2,2,2
"2869",1,1,1,2,1
"2870",1,1,1,2,1
"2871",2,2,2,1,2
"2873",2,2,2,1,1
"2875",1,2,1,1,1
"2877",2,2,2,1,2
"2879",1,1,1,1,1
"2882",1,2,1,1,1
"2885",2,2,2,1,2
"2886",2,2,2,1,1
"2887",2,2,2,2,2
"2889",1,1,1,2,1
"2893",1,1,1,2,1
"2894",1,1,1,1,1
"2895",1,2,1,1,1
"2897",2,2,1,1,1
"2898",1,1,1,1,1
"2900",2,2,2,2,2
"2901",2,1,2,1,1
"2902",2,2,2,2,1
"2903",1,1,1,1,1
"2904",2,2,2,1,1
"2905",1,2,1,1,2
"2907",2,1,1,1,2
"2909",2,1,2,1,2
"2912",1,1,1,1,1
"2914",1,1,2,2,1
"2920",1,1,2,1,1
"2921",1,1,1,1,1
"2922",2,2,2,1,2
"2923",2,2,1,2,2
"2925",1,1,1,2,1
"2927",2,2,2,1,2
"2928",1,1,2,1,1
"2929",2,2,2,2,1
"2931",1,1,2,1,1
"2933",2,2,2,2,2
"2934",2,2,2,1,1
"2935",2,2,2,2,2
"2936",1,1,2,1,1
"2937",2,2,2,2,2
"2938",1,2,2,1,1
"2939",1,1,1,1,1
"2940",1,1,2,1,2
"2941",1,1,1,2,1
"2942",1,1,1,1,1
"2943",1,1,1,2,1
"2946",1,1,1,1,1
"2947",2,2,2,2,2
"2948",2,2,2,2,2
"2949",2,2,2,2,1
"2950",2,2,2,1,2
"2951",2,2,2,2,2
"2952",2,2,2,2,2
"2953",2,2,2,2,2
"2954",2,2,2,2,2
"2955",2,2,2,2,2
"2961",1,1,1,1,1
"2963",1,2,1,1,1
"2964",1,1,1,2,2
"2965",1,1,1,1,1
"2968",2,2,2,2,2
"2969",1,1,1,1,1
"2972",1,1,1,2,1
"2974",2,2,2,2,2
"2975",2,2,2,2,1
"2976",1,1,1,1,1
"2987",2,2,2,2,2
"2991",2,2,2,2,1
"2993",1,2,1,2,1
"2995",2,2,2,2,2
"2996",2,2,2,1,1
"2997",2,2,2,2,1
"2998",1,1,2,1,1
"3000",1,2,1,2,1
"3005",2,2,2,2,1
"3007",2,2,2,1,1
"3010",1,1,1,2,1
"3011",2,2,2,1,2
"3013",2,2,2,2,2
"3014",2,2,2,1,1
"3015",2,2,2,2,2
"3018",2,2,2,2,2
"3020",2,2,2,2,2
"3022",2,1,1,2,1
"3025",1,1,1,1,2
"3026",1,1,2,1,2
"3027",2,2,2,2,2
"3028",2,2,2,1,2
"3034",2,2,2,1,2
"3036",2,1,1,1,1
"3037",1,1,2,1,1
"3038",2,2,2,1,1
"3040",2,2,2,2,2
"3041",2,2,2,2,2
"3043",1,1,2,1,1
"3046",2,2,1,2,2
"3048",2,2,2,1,2
"3056",2,2,2,2,2
"3057",2,2,2,2,2
"3059",2,2,2,1,2
"3060",2,2,2,2,2
"3061",2,2,2,1,2
"3063",2,1,1,1,2
"3065",1,2,1,2,1
"3069",2,1,1,1,1
"3071",1,2,1,1,1
"3073",1,1,1,1,1
"3074",2,1,1,1,1
"3077",2,1,1,2,1
"3078",2,2,2,2,1
"3079",2,1,1,1,2
"3080",1,1,1,1,1
"3081",1,1,1,1,1
"3082",2,1,1,1,1
"3085",2,2,2,2,2
"3087",1,2,1,1,1
"3091",2,2,2,1,2
"3094",2,2,2,1,2
"3096",1,2,1,1,2
"3098",1,1,1,2,1
"3104",1,1,1,1,1
"3105",2,1,1,2,1
"3108",1,1,1,1,1
"3111",2,1,1,1,1
"3116",1,1,1,1,1
"3118",1,1,1,2,1
"3119",1,1,1,2,1
"3120",1,1,1,2,1
"3121",1,1,2,1,1
"3124",2,1,1,2,1
"3125",2,2,2,1,1
"3138",1,1,1,1,1
"3145",2,2,2,1,2
"3147",2,2,2,2,2
"3148",2,1,2,1,1
"3152",2,2,2,1,2
"3153",2,2,2,2,2
"3155",2,2,2,2,1
"3156",2,2,2,2,1
"3158",1,1,1,1,1
"3159",2,2,2,2,2
"3161",2,1,2,2,2
"3162",1,2,1,2,2
"3165",2,2,2,2,2
"3166",2,2,1,2,2
"3169",1,1,1,2,2
"3171",1,1,1,1,2
"3172",1,1,1,1,2
"3173",2,2,2,1,2
"3176",1,2,1,2,1
"3178",1,2,1,2,1
"3179",2,2,2,2,2
"3181",2,1,1,1,1
"3186",2,2,1,2,1
"3190",2,1,1,1,1
"3191",2,1,2,2,2
"3193",2,2,1,2,2
"3194",2,2,2,2,2
"3200",2,2,2,1,2
"3201",2,1,2,2,1
"3204",1,2,1,1,1
"3206",2,2,2,2,2
"3209",2,2,2,2,2
"3211",2,2,1,1,2
"3213",2,2,2,1,2
"3214",2,2,2,2,2
"3215",2,1,2,1,2
"3216",2,2,2,2,2
"3218",2,2,2,2,2
"3220",2,2,2,1,2
"3222",1,1,2,2,1
"3224",2,2,2,2,2
"3226",1,1,1,2,1
"3227",2,2,2,2,2
"3228",1,1,1,2,1
"3229",2,2,1,2,1
"3230",1,1,1,2,1
"3238",2,2,2,1,2
"3242",2,1,2,2,2
"3247",2,2,2,1,1
"3251",2,2,2,1,2
"3252",2,2,2,2,2
"3255",2,2,1,2,2
"3256",1,1,1,2,1
"3257",1,1,2,2,2
"3258",2,2,2,2,2
"3259",2,1,2,2,2
"3261",2,2,2,2,2
"3262",2,2,2,1,1
"3271",2,1,1,1,1
"3273",2,2,2,2,2
"3275",2,2,2,1,1
"3276",2,1,1,2,1
"3279",1,1,1,2,1
"3281",1,1,1,1,1
"3283",2,2,2,2,2
"3287",2,2,2,2,2
"3292",2,2,1,1,1
"3293",2,2,2,2,1
"3295",2,2,1,2,1
"3297",1,1,1,1,2
"3301",1,1,1,2,1
"3303",2,2,2,2,2
"3304",2,2,2,2,2
"3307",1,1,2,1,1
"3308",1,1,1,1,1
"3310",1,1,1,2,1
"3312",1,1,1,1,2
"3313",2,1,2,2,1
"3314",1,2,1,1,1
"3316",2,1,1,1,1
"3320",1,1,1,2,1
"3322",1,1,1,1,1
"3324",2,2,2,2,2
"3326",2,2,2,2,2
"3327",1,2,2,1,1
"3329",2,1,2,1,1
"3337",2,2,2,2,2
"3340",1,2,1,2,1
"3343",2,1,2,1,1
"3344",1,2,1,1,1
"3348",2,2,2,2,1
"3349",2,2,2,2,2
"3351",2,1,1,2,1
"3352",2,1,1,2,1
"3353",1,1,2,1,1
"3355",2,1,1,2,1
"3357",1,2,1,1,2
"3362",2,2,2,2,2
"3364",2,1,2,2,2
"3366",1,2,1,1,1
"3367",2,1,1,1,1
"3372",2,2,2,2,2
"3373",1,1,2,2,1
"3376",2,2,2,2,2
"3377",2,2,1,1,2
"3378",2,2,2,1,1
"3379",2,2,2,1,2
"3380",1,1,1,1,1
"3381",2,2,2,2,2
"3382",2,2,2,2,2
"3383",1,1,1,1,2
"3385",2,2,2,1,2
"3388",2,2,2,2,2
"3389",2,2,2,2,2
"3391",2,2,2,2,2
"3392",2,2,2,2,2
"3394",1,2,1,2,1
"3395",1,1,1,1,1
"3397",1,1,1,1,1
"3398",2,2,2,2,2
"3399",2,2,2,2,2
"3400",1,1,1,1,1
"3402",1,2,1,1,1
"3403",2,1,2,2,1
"3404",2,1,2,1,1
"3405",1,1,1,1,2
"3406",2,2,2,1,2
"3407",1,1,1,2,1
"3408",2,2,2,2,2
"3409",2,2,2,2,2
"3410",2,2,1,2,2
"3411",2,2,2,2,2
"3412",2,1,2,2,2
"3414",2,2,2,1,1
"3415",2,1,1,2,1
"3416",1,2,1,1,2
"3418",2,2,2,2,2
"3419",2,2,1,1,1
"3420",2,2,2,2,2
"3422",2,2,1,2,2
"3424",1,2,1,2,1
"3425",1,1,1,2,1
"3426",1,2,1,1,1
"3428",2,2,2,2,2
"3432",2,2,2,2,2
"3433",2,2,2,2,2
"3434",2,1,2,1,1
"3435",1,1,1,2,1
"3436",2,2,2,2,2
"3437",2,2,2,2,2
"3438",2,2,2,2,2
"3443",1,2,2,1,1
"3445",2,1,1,1,1
"3446",2,2,2,2,2
"3447",2,2,2,1,1
"3448",1,1,1,1,1
"3449",2,1,1,2,1
"3450",1,2,1,2,1
"3451",1,1,1,2,1
"3452",2,2,2,2,2
"3454",1,1,2,2,1
"3456",1,1,1,2,1
"3457",2,2,1,1,1
"3458",2,1,1,1,1
"3461",2,1,1,1,1
"3463",1,1,2,1,1
"3465",1,2,1,1,1
"3466",1,1,1,2,1
"3467",1,1,1,1,2
"3469",2,2,2,2,2
"3471",2,2,2,1,2
"3474",2,2,2,2,2
"3475",2,2,2,1,1
"3476",2,2,1,2,2
"3477",2,2,2,1,2
"3479",2,2,2,2,2
"3480",2,2,2,2,2
"3483",2,2,1,2,2
"3485",1,1,1,1,1
"3486",1,2,1,1,1
"3488",2,2,2,2,2
"3489",2,2,2,2,2
"3490",2,2,2,2,2
"3493",2,2,2,2,1
"3495",2,2,2,1,2
"3496",2,2,2,2,2
"3499",2,2,1,1,1
"3502",2,2,2,2,2
"3503",1,1,1,2,2
"3505",2,2,1,1,1
"3506",2,1,1,2,1
"3507",2,2,1,1,2
"3508",1,1,2,1,1
"3510",2,2,2,2,2
"3511",2,2,2,2,2
"3514",1,1,1,2,1
"3515",2,1,1,1,1
"3518",2,2,2,2,2
"3519",1,1,1,1,2
"3521",1,1,1,2,2
"3523",2,2,1,2,2
"3524",2,2,2,1,1
"3525",2,1,1,1,2
"3530",2,2,2,2,2
"3533",1,2,1,2,1
"3534",2,2,1,1,2
"3539",2,2,2,1,2
"3540",1,1,1,2,1
"3541",2,2,2,2,2
"3542",2,1,2,2,2
"3543",1,2,1,2,1
"3545",2,2,2,2,2
"3548",2,2,2,2,1
"3549",1,1,2,1,1
"3551",1,1,1,2,1
"3553",1,1,1,1,1
"3556",2,2,2,1,1
"3559",1,2,1,2,1
"3561",1,1,1,1,2
"3563",1,1,2,1,2
"3565",2,2,2,2,2
"3566",2,2,2,2,2
"3576",1,2,1,2,2
"3577",1,1,1,1,1
"3580",2,1,1,2,1
"3582",2,2,1,2,1
"3583",2,2,2,2,2
"3585",2,2,2,2,2
"3586",2,2,2,2,1
"3587",1,1,1,1,1
"3588",1,1,2,1,1
"3590",2,2,2,2,2
"3591",1,1,1,2,1
"3594",1,1,1,1,2
"3597",2,1,1,1,1
"3601",2,2,2,2,2
"3605",1,1,1,1,1
"3609",1,1,1,1,1
"3612",1,1,1,1,2
"3613",1,1,1,2,1
"3614",2,1,1,2,1
"3615",2,2,2,2,1
"3616",1,1,1,1,1
"3617",2,2,2,1,2
"3618",1,1,1,1,1
"3619",2,2,2,2,2
"3623",1,1,1,1,2
"3624",1,1,1,1,1
"3625",2,2,2,2,2
"3626",2,1,1,1,1
"3633",2,2,2,1,2
"3635",1,1,2,1,1
"3636",1,2,2,1,1
"3637",2,2,2,1,2
"3639",1,2,1,1,1
"3642",1,1,1,1,1
"3643",1,1,1,1,1
"3646",1,1,1,1,1
"3648",1,1,1,2,1
"3649",1,2,1,2,1
"3652",2,1,2,2,1
"3657",1,2,1,2,2
