"","test1","test2","test3","test4","test5"
"535",2,1,1,1,1
"538",2,1,1,2,1
"539",2,1,2,1,1
"540",2,2,1,2,2
"541",1,1,1,2,1
"542",1,1,1,1,1
"543",2,1,2,1,2
"550",2,2,2,2,2
"551",2,2,2,2,2
"554",2,1,2,1,1
"555",2,2,1,2,1
"556",2,2,2,1,1
"561",2,2,2,2,2
"567",2,2,2,2,2
"569",2,1,2,1,1
"571",1,1,1,1,1
"572",2,2,2,2,2
"573",2,1,2,1,1
"574",1,1,2,1,1
"577",2,1,2,1,2
"578",2,2,2,1,1
"579",2,2,2,2,2
"581",2,2,2,2,1
"593",2,1,1,1,2
"594",1,1,2,1,1
"598",1,1,1,1,1
"605",2,1,1,2,1
"606",2,2,2,2,1
"608",1,1,1,1,1
"609",1,1,1,1,1
"610",1,1,1,2,1
"611",2,2,2,2,2
"612",1,2,1,1,1
"618",2,2,2,2,2
"620",2,1,2,2,1
"622",1,1,1,2,1
"623",2,2,2,2,2
"629",2,1,2,1,1
"630",1,1,1,1,1
"632",1,1,2,1,1
"634",2,2,2,2,2
"637",2,2,2,1,2
"640",2,2,2,2,2
"641",1,1,1,1,1
"642",2,1,1,2,1
"644",2,2,2,2,2
"645",1,1,1,2,1
"646",1,2,1,1,1
"650",1,2,1,1,1
"652",1,1,1,1,1
"654",1,1,1,1,1
"656",1,1,1,1,2
"659",2,2,2,1,1
"664",1,1,1,1,1
"665",2,2,2,1,1
"667",2,2,2,1,2
"669",1,1,1,1,1
"670",2,2,2,2,2
"675",2,1,2,1,2
"676",2,1,2,2,1
"682",1,1,1,2,1
"683",2,2,2,1,2
"686",1,1,2,2,1
"688",1,1,1,1,1
"690",1,1,1,1,1
"691",2,2,2,2,1
"693",2,2,2,2,2
"694",1,2,2,1,1
"695",2,1,2,2,1
"696",1,1,1,2,1
"699",1,1,1,1,1
"700",2,2,2,2,2
"703",1,2,1,1,1
"704",1,1,1,1,2
"706",2,1,1,1,1
"707",1,1,1,1,1
"709",2,1,1,2,1
"710",1,1,1,1,1
"711",2,2,2,2,1
"713",1,1,1,1,1
"714",2,2,2,2,1
"717",2,1,2,2,2
"718",1,1,1,2,1
"719",1,1,2,1,1
"723",1,1,1,2,1
"724",2,2,1,2,1
"726",1,1,1,2,1
"727",1,1,1,2,1
"729",2,1,1,1,2
"731",2,2,1,1,1
"734",1,1,1,1,1
"736",2,1,2,1,1
"737",2,1,2,1,1
"739",2,2,2,2,2
"741",2,1,1,2,1
"742",2,1,2,2,1
"744",2,2,2,1,2
"745",2,2,2,2,2
"746",1,1,1,1,2
"747",2,2,2,2,2
"750",1,1,1,2,1
"752",2,2,1,2,1
